,segmentId,price,priceChange12h,priceChange24h,priceChangeSegmentPeriod,bestStrategy,target-0.2_stop-2.0,target-0.2_stop-2.3,target-0.2_stop-2.6,target-0.2_stop-2.9,target-0.2_stop-3.2,target-0.4_stop-2.0,target-0.4_stop-2.3,target-0.4_stop-2.6,target-0.4_stop-2.9,target-0.4_stop-3.2,target-0.6_stop-2.0,target-0.6_stop-2.3,target-0.6_stop-2.6,target-0.6_stop-2.9,target-0.6_stop-3.2,target-0.8_stop-2.0,target-0.8_stop-2.3,target-0.8_stop-2.6,target-0.8_stop-2.9,target-0.8_stop-3.2,target-1.0_stop-2.0,target-1.0_stop-2.3,target-1.0_stop-2.6,target-1.0_stop-2.9,target-1.0_stop-3.2,target-1.2_stop-2.0,target-1.2_stop-2.3,target-1.2_stop-2.6,target-1.2_stop-2.9,target-1.2_stop-3.2
2022-01-01 00:00:00+00:00,905979023,170.1966082645718,,,,-0.000524924324433,-0.000524924324433,-0.0005387153204789,-0.0005385021730261,-0.0005301632754932,-0.0005241900764379,-0.000709863967175,-0.0007098943402076,-0.0007010677155487,-0.0006778474434826,-0.000664379361683,-0.0008093185042901,-0.000808899621571,-0.000801568975857,-0.00077275664598,-0.0007602784915141,-0.000862872518749,-0.0008622674446124,-0.0008427599191147,-0.0008129901527496,-0.0007995665843314,-0.000851878269859,-0.0008330745467772,-0.0008074166173742,-0.0007811348450811,-0.0007766258234811,-0.0009204315409869,-0.0009024397817458,-0.0008716281338585,-0.0008385404046487,-0.0008141435136005
2022-01-01 12:00:00+00:00,905979023,174.54270294400044,0.025535730257753415,,,-0.000524924324433,-0.000524924324433,-0.0005387153204789,-0.0005385021730261,-0.0005301632754932,-0.0005241900764379,-0.000709863967175,-0.0007098943402076,-0.0007010677155487,-0.0006778474434826,-0.000664379361683,-0.0008093185042901,-0.000808899621571,-0.000801568975857,-0.00077275664598,-0.0007602784915141,-0.000862872518749,-0.0008622674446124,-0.0008427599191147,-0.0008129901527496,-0.0007995665843314,-0.000851878269859,-0.0008330745467772,-0.0008074166173742,-0.0007811348450811,-0.0007766258234811,-0.0009204315409869,-0.0009024397817458,-0.0008716281338585,-0.0008385404046487,-0.0008141435136005
2022-01-02 00:00:00+00:00,905979023,178.88879762342907,0.02489989329902273,0.05107146051550683,,-0.000524924324433,-0.000524924324433,-0.0005387153204789,-0.0005385021730261,-0.0005301632754932,-0.0005241900764379,-0.000709863967175,-0.0007098943402076,-0.0007010677155487,-0.0006778474434826,-0.000664379361683,-0.0008093185042901,-0.000808899621571,-0.000801568975857,-0.00077275664598,-0.0007602784915141,-0.000862872518749,-0.0008622674446124,-0.0008427599191147,-0.0008129901527496,-0.0007995665843314,-0.000851878269859,-0.0008330745467772,-0.0008074166173742,-0.0007811348450811,-0.0007766258234811,-0.0009204315409869,-0.0009024397817458,-0.0008716281338585,-0.0008385404046487,-0.0008141435136005
2022-01-02 12:00:00+00:00,905979023,177.60514875923013,-0.007175680541500929,0.017545539077690554,,-0.000524924324433,-0.000524924324433,-0.0005387153204789,-0.0005385021730261,-0.0005301632754932,-0.0005241900764379,-0.000709863967175,-0.0007098943402076,-0.0007010677155487,-0.0006778474434826,-0.000664379361683,-0.0008093185042901,-0.000808899621571,-0.000801568975857,-0.00077275664598,-0.0007602784915141,-0.000862872518749,-0.0008622674446124,-0.0008427599191147,-0.0008129901527496,-0.0007995665843314,-0.000851878269859,-0.0008330745467772,-0.0008074166173742,-0.0007811348450811,-0.0007766258234811,-0.0009204315409869,-0.0009024397817458,-0.0008716281338585,-0.0008385404046487,-0.0008141435136005
2022-01-03 00:00:00+00:00,905979023,176.32149989503122,-0.007227543081755382,-0.0143513610830017,,-0.000524924324433,-0.000524924324433,-0.0005387153204789,-0.0005385021730261,-0.0005301632754932,-0.0005241900764379,-0.000709863967175,-0.0007098943402076,-0.0007010677155487,-0.0006778474434826,-0.000664379361683,-0.0008093185042901,-0.000808899621571,-0.000801568975857,-0.00077275664598,-0.0007602784915141,-0.000862872518749,-0.0008622674446124,-0.0008427599191147,-0.0008129901527496,-0.0007995665843314,-0.000851878269859,-0.0008330745467772,-0.0008074166173742,-0.0007811348450811,-0.0007766258234811,-0.0009204315409869,-0.0009024397817458,-0.0008716281338585,-0.0008385404046487,-0.0008141435136005
2022-01-03 12:00:00+00:00,905979023,173.44616938121604,-0.016307316552586864,-0.023416997801410603,,-0.000524924324433,-0.000524924324433,-0.0005387153204789,-0.0005385021730261,-0.0005301632754932,-0.0005241900764379,-0.000709863967175,-0.0007098943402076,-0.0007010677155487,-0.0006778474434826,-0.000664379361683,-0.0008093185042901,-0.000808899621571,-0.000801568975857,-0.00077275664598,-0.0007602784915141,-0.000862872518749,-0.0008622674446124,-0.0008427599191147,-0.0008129901527496,-0.0007995665843314,-0.000851878269859,-0.0008330745467772,-0.0008074166173742,-0.0007811348450811,-0.0007766258234811,-0.0009204315409869,-0.0009024397817458,-0.0008716281338585,-0.0008385404046487,-0.0008141435136005
2022-01-04 00:00:00+00:00,905979023,170.57083886740085,-0.016577653597500436,-0.03261463310517373,,-0.000524924324433,-0.000524924324433,-0.0005387153204789,-0.0005385021730261,-0.0005301632754932,-0.0005241900764379,-0.000709863967175,-0.0007098943402076,-0.0007010677155487,-0.0006778474434826,-0.000664379361683,-0.0008093185042901,-0.000808899621571,-0.000801568975857,-0.00077275664598,-0.0007602784915141,-0.000862872518749,-0.0008622674446124,-0.0008427599191147,-0.0008129901527496,-0.0007995665843314,-0.000851878269859,-0.0008330745467772,-0.0008074166173742,-0.0007811348450811,-0.0007766258234811,-0.0009204315409869,-0.0009024397817458,-0.0008716281338585,-0.0008385404046487,-0.0008141435136005
2022-01-04 12:00:00+00:00,460417725,169.30516186942629,-0.007420242559506223,-0.023874885946245733,-0.005237744771974317,-0.000619321293611,-0.000619321293611,-0.0006346366463298,-0.0006505813133639,-0.0006778618253131,-0.0006916753913777,-0.0007785512602546,-0.0007913223768224,-0.000794532847846,-0.0008166781392963,-0.0008382886109177,-0.0008540232316165,-0.0008710529401808,-0.0008569655160265,-0.0008455414642738,-0.0008493367458225,-0.0009196596164907,-0.0009174725990149,-0.0008799137081201,-0.000850616390149,-0.00084788576558,-0.0009823945760037,-0.0009753508140224,-0.0008995210453972,-0.0008706947632724,-0.00088433019727,-0.0009820547570138,-0.0009575875908743,-0.0008801384298648,-0.0008557069349886,-0.0008726434496473
2022-01-05 00:00:00+00:00,460417725,168.0394848714517,-0.00747571417196793,-0.014840485119012613,-0.03725860756628258,-0.000619321293611,-0.000619321293611,-0.0006346366463298,-0.0006505813133639,-0.0006778618253131,-0.0006916753913777,-0.0007785512602546,-0.0007913223768224,-0.000794532847846,-0.0008166781392963,-0.0008382886109177,-0.0008540232316165,-0.0008710529401808,-0.0008569655160265,-0.0008455414642738,-0.0008493367458225,-0.0009196596164907,-0.0009174725990149,-0.0008799137081201,-0.000850616390149,-0.00084788576558,-0.0009823945760037,-0.0009753508140224,-0.0008995210453972,-0.0008706947632724,-0.00088433019727,-0.0009820547570138,-0.0009575875908743,-0.0008801384298648,-0.0008557069349886,-0.0008726434496473
2022-01-05 12:00:00+00:00,460417725,161.87809575918624,-0.03666631754422984,-0.043867924806498496,-0.09509092849990144,-0.000619321293611,-0.000619321293611,-0.0006346366463298,-0.0006505813133639,-0.0006778618253131,-0.0006916753913777,-0.0007785512602546,-0.0007913223768224,-0.000794532847846,-0.0008166781392963,-0.0008382886109177,-0.0008540232316165,-0.0008710529401808,-0.0008569655160265,-0.0008455414642738,-0.0008493367458225,-0.0009196596164907,-0.0009174725990149,-0.0008799137081201,-0.000850616390149,-0.00084788576558,-0.0009823945760037,-0.0009753508140224,-0.0008995210453972,-0.0008706947632724,-0.00088433019727,-0.0009820547570138,-0.0009575875908743,-0.0008801384298648,-0.0008557069349886,-0.0008726434496473
