,target-0.2_stop-2.0,target-0.2_stop-2.3,target-0.2_stop-2.6,target-0.2_stop-2.9,target-0.2_stop-3.2,target-0.4_stop-2.0,target-0.4_stop-2.3,target-0.4_stop-2.6,target-0.4_stop-2.9,target-0.4_stop-3.2,target-0.6_stop-2.0,target-0.6_stop-2.3,target-0.6_stop-2.6,target-0.6_stop-2.9,target-0.6_stop-3.2,target-0.8_stop-2.0,target-0.8_stop-2.3,target-0.8_stop-2.6,target-0.8_stop-2.9,target-0.8_stop-3.2,target-1.0_stop-2.0,target-1.0_stop-2.3,target-1.0_stop-2.6,target-1.0_stop-2.9,target-1.0_stop-3.2,target-1.2_stop-2.0,target-1.2_stop-2.3,target-1.2_stop-2.6,target-1.2_stop-2.9,target-1.2_stop-3.2
summaryMetric.exp24hROI.groupedByAll,-0.02857876448056888,-0.03320077514801967,-0.03585354801686373,-0.038376914515117135,-0.04061527373585504,-0.03675370386703604,-0.041095297398397984,-0.04367063272682052,-0.046134944229006915,-0.04848403037379685,-0.0435224091850011,-0.04754683843917917,-0.05025229603039184,-0.052333161843849736,-0.054140480619871395,-0.050001086902631324,-0.05411469692956608,-0.056321198091829214,-0.058019156256251106,-0.06048727782635102,-0.05733070689843024,-0.06198723364548204,-0.06429149620370131,-0.06623940758465849,-0.06843954752352151,-0.06318483376509675,-0.06771230864970612,-0.07008580244103942,-0.07266560059024127,-0.07468995890840355
summaryMetric.exp24hROI.results.groupedByEntryType.bullish,-0.02975418524412457,-0.034139469318396246,-0.036712679147205246,-0.04073917474721664,-0.04323754809235302,-0.03384284751415469,-0.03770611566629724,-0.03980482500949057,-0.043103057984733156,-0.04499775161895602,-0.03748259540024682,-0.04061791146507687,-0.043092856476337434,-0.04583179352278986,-0.04701955176562486,-0.043083248461422946,-0.04566225684944449,-0.047930372313761974,-0.049676352912807045,-0.0508353428816394,-0.049161868570667205,-0.05207523917691718,-0.05441495050650204,-0.05696041170395538,-0.057352711334994935,-0.05270780038618264,-0.05495975811458025,-0.05691455988472079,-0.06048370172541144,-0.06014850622416572
summaryMetric.exp24hROI.results.groupedByEntryType.bearish,-0.038537038120735986,-0.045279889307878345,-0.049082588615980166,-0.05081220743218284,-0.05362972447527009,-0.044870822667480825,-0.05033145348312679,-0.05380035431691169,-0.05558304599270754,-0.058770590318812085,-0.05212291475280852,-0.05733517380999478,-0.06040317223456247,-0.06177102815794498,-0.06437331988576547,-0.05872127775810494,-0.06469901602310305,-0.06685456275589671,-0.06851258725924192,-0.07256046434593022,-0.06712531429361326,-0.07386154641865394,-0.07612680089357474,-0.0773666469675279,-0.08172006498124382,-0.07568473695358312,-0.08292288103868756,-0.08579583730608623,-0.08719917331505284,-0.09203308924131207
summaryMetric.exp24hROI.results.groupedByPriceTargetReached.true,0.05157312858462007,0.05143664389774543,0.052207431882061485,0.0527104649029987,0.05290526078750721,0.058468103042280534,0.05820257302625685,0.05837074126983107,0.05852619061519867,0.05841326652432055,0.07827223971540467,0.07820743596378014,0.0782390954723993,0.07833756426785682,0.07828513759562027,0.10289240288473622,0.10295630203146237,0.10281550671620762,0.10300941111390083,0.10314247919348936,0.129297011125415,0.1293737283915679,0.12954521856191523,0.1299381350341867,0.1301176957176114,0.15935145672839096,0.15938871048507797,0.15955509957854122,0.16020437382397168,0.1604761701597648
summaryMetric.exp24hROI.results.groupedByPriceTargetReached.false,-0.17641586817713328,-0.20582749123558658,-0.2360656616285483,-0.26602915032768015,-0.2942245391892345,-0.2230781239606781,-0.2535411458287865,-0.2847279289913629,-0.31554415140554193,-0.3453197012628586,-0.2466755637089246,-0.2779973223332879,-0.31032015655230283,-0.34198530136647304,-0.3717753785937168,-0.25983695661744566,-0.29183138513673423,-0.3238479341413948,-0.355450384443638,-0.3860228544435981,-0.26866972464395383,-0.3008720525796909,-0.33315507756707635,-0.36468214356032347,-0.3953563332235272,-0.2748009184390933,-0.3067898622850159,-0.33936602970819835,-0.3709817824566351,-0.40187407565839645
summaryMetric.meanTradeProfit.groupedByAll,-0.0005953909266785183,-0.000691682815583743,-0.0007469489170179944,-0.0007995190523982736,-0.0008461515361636466,-0.0007657021638965841,-0.0008561520291332913,-0.0009098048484754275,-0.000961144671437644,-0.0010100839661207677,-0.0009067168580208563,-0.000990559134149566,-0.0010469228339664966,-0.0010902742050802028,-0.0011279266795806541,-0.001041689310471486,-0.00112738951936596,-0.0011733582935797753,-0.0012087324220052314,-0.001260151621382313,-0.0011943897270506301,-0.0012914007009475425,-0.0013394061709104438,-0.0013799876580137184,-0.0014258239067400315,-0.0013163507034395156,-0.0014106730968688774,-0.0014601208841883212,-0.00151386667896336,-0.0015560408105917405
summaryMetric.meanTradeProfit.results.groupedByEntryType.bullish,-0.0006198788592525952,-0.0007112389441332552,-0.0007648474822334427,-0.00084873280723368,-0.0009007822519240213,-0.0007050593232115561,-0.0007855440763811925,-0.0008292671876977202,-0.0008979803746819408,-0.0009374531587282505,-0.0007808874041718088,-0.0008462064888557681,-0.0008977678432570299,-0.0009548290317247887,-0.0009795739951171847,-0.0008975676762796447,-0.0009512970176967602,-0.0009985494232033745,-0.0010349240190168135,-0.0010590696433674875,-0.0010242055952222335,-0.0010849008161857745,-0.0011336448022187925,-0.0011866752438324038,-0.0011948481528123946,-0.0010980791747121383,-0.001144994960720422,-0.0011857199975983499,-0.001260077119279405,-0.0012530938796701191
summaryMetric.meanTradeProfit.results.groupedByEntryType.bearish,-0.0008028549608486663,-0.0009433310272474655,-0.0010225539294995867,-0.0010585876548371426,-0.0011172859265681269,-0.0009348088055725172,-0.0010485719475651415,-0.0011208407149356603,-0.0011579801248480738,-0.001224387298308585,-0.0010858940573501776,-0.0011944827877082246,-0.0012583994215533848,-0.0012868964199571871,-0.0013411108309534473,-0.001223359953293853,-0.0013478961671479803,-0.001392803390747848,-0.0014273455679008732,-0.0015116763405402128,-0.0013984440477836095,-0.0015387822170552904,-0.0015859750186161402,-0.0016118051451568314,-0.001702501353775913,-0.0015767653531996483,-0.0017275600216393242,-0.0017874132772101297,-0.0018166494440636006,-0.001917356025860668
summaryMetric.meanTradeProfit.results.groupedByPriceTargetReached.true,0.0010744401788462515,0.0010715967478696965,0.001087654830876281,0.0010981346854791396,0.0011021929330730668,0.0012180854800475111,0.0012125536047136844,0.0012160571097881473,0.001219295637816639,0.0012169430525900114,0.0016306716607375974,0.001629321582578753,0.0016299811556749852,0.0016320325889136837,0.0016309403665754221,0.002143591726765338,0.0021449229589887995,0.0021419897232543253,0.0021460293982062673,0.0021488016498643616,0.002693687731779479,0.0026952860081576645,0.0026988587200399007,0.0027070444798788893,0.0027107853274502373,0.0033198220151748115,0.0033205981351057913,0.003324064574552942,0.0033375911213327433,0.0033432535449951003
summaryMetric.meanTradeProfit.results.groupedByPriceTargetReached.false,-0.00367533058702361,-0.004288072734074721,-0.004918034617261423,-0.0055422739651600035,-0.006129677899775719,-0.00464746091584746,-0.005282107204766386,-0.005931831853986727,-0.006573836487615457,-0.007194160442976221,-0.005139074243935929,-0.005791610881943497,-0.006465003261506308,-0.007124693778468188,-0.0077453203873690995,-0.005413269929530118,-0.006079820523681964,-0.006746831961279058,-0.0074052163425757924,-0.008042142800908293,-0.005597285930082372,-0.006268167762076894,-0.006940730782647424,-0.007597544657506739,-0.00823659027549015,-0.0057250191341477775,-0.006391455464271166,-0.007070125618920799,-0.007728787134513231,-0.008372376576216593
