,target-0.2_stop-2.0,target-0.2_stop-2.3,target-0.2_stop-2.6,target-0.2_stop-2.9,target-0.2_stop-3.2,target-0.4_stop-2.0,target-0.4_stop-2.3,target-0.4_stop-2.6,target-0.4_stop-2.9,target-0.4_stop-3.2,target-0.6_stop-2.0,target-0.6_stop-2.3,target-0.6_stop-2.6,target-0.6_stop-2.9,target-0.6_stop-3.2,target-0.8_stop-2.0,target-0.8_stop-2.3,target-0.8_stop-2.6,target-0.8_stop-2.9,target-0.8_stop-3.2,target-1.0_stop-2.0,target-1.0_stop-2.3,target-1.0_stop-2.6,target-1.0_stop-2.9,target-1.0_stop-3.2,target-1.2_stop-2.0,target-1.2_stop-2.3,target-1.2_stop-2.6,target-1.2_stop-2.9,target-1.2_stop-3.2
summaryMetric.exp24hROI.groupedByAll,-0.029727422093332408,-0.030462559023831454,-0.031227903041467997,-0.03253736761503196,-0.03320041878613,-0.03737046049222532,-0.03798347408747592,-0.03813757669661271,-0.03920055068622376,-0.04023785332405136,-0.040993115117595534,-0.04181054112868016,-0.0411343447692748,-0.040585990285144126,-0.0407681637994801,-0.04414366159155688,-0.04403868475271715,-0.04223585798976768,-0.040829586727153096,-0.040698516747844166,-0.047154939648181106,-0.04681683907307807,-0.04317701017906872,-0.04179334863707539,-0.04244784946896436,-0.047138628336666086,-0.04596420436196802,-0.042246644633511424,-0.04107393287945581,-0.0418868855830714
summaryMetric.exp24hROI.results.groupedByEntryType.bullish,-0.05182044966273339,-0.054147351945943945,-0.05676027679450882,-0.0592077719240222,-0.06221960427914744,-0.05606252677622104,-0.058359220541958204,-0.0599131720542955,-0.06194891556360772,-0.06515204470031034,-0.058439827486651,-0.061377979764627964,-0.06311387209181762,-0.06417426132523806,-0.06749974938373063,-0.06628516081827926,-0.06931626486007259,-0.07045411148357189,-0.07082678085440725,-0.07502572737799536,-0.07549830785919524,-0.07910244466483973,-0.07946707092952028,-0.08039951752192304,-0.08589900642754728,-0.07955261765323247,-0.08280231147023483,-0.08366520019805201,-0.08530514664631014,-0.09133558579585956
summaryMetric.exp24hROI.results.groupedByEntryType.bearish,-0.025221303066102395,-0.02460812593562984,-0.02374447214854996,-0.024660401169427845,-0.023027023787025994,-0.023911685852370967,-0.0226871360719898,-0.021232693012661338,-0.021394966716401575,-0.020124986014916697,-0.023055514383397382,-0.021440912811492227,-0.01790154505823404,-0.015437715312147968,-0.011952982011742032,-0.01890186165257407,-0.015135030616771898,-0.009875286664965507,-0.006373474000618605,-0.0011866364178021705,-0.014266761317606853,-0.00932934914805086,-0.0010056988523362846,0.0030843950038872544,0.00807855295300313,-0.009409362758389763,-0.003081918232431007,0.005971877614126245,0.010420843851774777,0.015684001680725253
summaryMetric.exp24hROI.results.groupedByPriceTargetReached.true,0.03733344681917931,0.037204576031537276,0.03751869656294042,0.03792821278937647,0.03820374220331203,0.04208159049702699,0.042085846430250914,0.042420673479455856,0.04253726432529736,0.04271365983089519,0.05862924924479565,0.05837042941288913,0.05883352736484395,0.05884757846203714,0.05883368601233988,0.0823799149655888,0.08202639436519099,0.08249031303335656,0.08258725722135647,0.08263172959538104,0.1079582101143391,0.10795615184905623,0.10876437835706311,0.10910122523049728,0.1091670027871462,0.1371205037689285,0.13732671519423,0.13842942215794132,0.13892419749285692,0.13889269431143755
summaryMetric.exp24hROI.results.groupedByPriceTargetReached.false,-0.1653673831713411,-0.18891064352288156,-0.21376987682826903,-0.2403236223759363,-0.2647508313735724,-0.2023615961849976,-0.22785189503741676,-0.25317113270353364,-0.2787629889491351,-0.30478658015123095,-0.22314652712505711,-0.2485559666804037,-0.27369987241426796,-0.2988302165009521,-0.32426118362538875,-0.2356231186965207,-0.26116927074585905,-0.286909260399107,-0.3122743446770405,-0.33814359557208457,-0.24118707306837578,-0.2673836090065083,-0.2928059358361992,-0.3182001006776572,-0.3445645545206145,-0.24453970926649887,-0.2708677568032438,-0.2964284971885047,-0.3225352584844987,-0.34934764941356616
summaryMetric.meanTradeProfit.groupedByAll,-0.0006193212936110919,-0.000634636646329822,-0.0006505813133639166,-0.0006778618253131659,-0.0006916753913777082,-0.0007785512602546941,-0.000791322376822415,-0.0007945328478460982,-0.0008166781392963283,-0.0008382886109177367,-0.0008540232316165737,-0.0008710529401808367,-0.0008569655160265584,-0.000845541464273836,-0.0008493367458225021,-0.0009196596164907683,-0.0009174725990149406,-0.00087991370812016,-0.0008506163901490228,-0.0008478857655800868,-0.000982394576003773,-0.0009753508140224597,-0.000899521045397265,-0.000870694763272404,-0.0008843301972700909,-0.0009820547570138767,-0.0009575875908743337,-0.0008801384298648213,-0.0008557069349886626,-0.0008726434496473209
summaryMetric.meanTradeProfit.results.groupedByEntryType.bullish,-0.0010795927013069456,-0.0011280698322071656,-0.0011825057665522671,-0.0012334952484171291,-0.0012962417558155716,-0.0011679693078379383,-0.0012158170946241292,-0.0012481910844644895,-0.001290602407575161,-0.0013573342645897988,-0.0012174964059718958,-0.0012787079117630826,-0.0013148723352462005,-0.0013369637776091262,-0.0014062447788277214,-0.0013809408503808178,-0.001444088851251512,-0.001467793989241081,-0.0014755579344668177,-0.00156303598704157,-0.0015728814137332342,-0.001647967597184161,-0.0016555639776983393,-0.0016749899483733967,-0.001789562633907235,-0.00165734620110901,-0.0017250481556298923,-0.0017430250041260836,-0.0017771905551314613,-0.0019028247040804075
summaryMetric.meanTradeProfit.results.groupedByEntryType.bearish,-0.0005254438138771332,-0.0005126692903256216,-0.0004946765030947909,-0.0005137583576964134,-0.0004797296622297082,-0.0004981601219243952,-0.0004726486681664542,-0.0004423477710971112,-0.00044572847325836614,-0.00041927054197743116,-0.00048032321632077884,-0.0004466856835727547,-0.0003729488553798759,-0.0003216190690030827,-0.000249020458577959,-0.00039378878442862644,-0.00031531313784941456,-0.00020573513885344808,-0.00013278070834622094,-2.472159203754522e-05,-0.00029722419411680944,-0.0001943614405843929,-2.09520594236726e-05,6.425822924765113e-05,0.00016830318652089854,-0.00019602839079978674,-6.420662984231265e-05,0.00012441411696096345,0.00021710091357864117,0.00032675003501510946
summaryMetric.meanTradeProfit.results.groupedByPriceTargetReached.true,0.0007777801420662356,0.0007750953339903598,0.0007816395117279254,0.0007901710997786765,0.000795911295902334,0.0008766998020213956,0.0008767884672968941,0.000883764030821997,0.0008861930067770282,0.0008898679131436498,0.0012214426925999094,0.0012160506127685234,0.0012256984867675823,0.0012259912179591072,0.0012257017919237475,0.0017162482284497666,0.0017088832159414791,0.0017185481881949285,0.0017205678587782598,0.0017214943665704381,0.0022491293773820647,0.002249086496855338,0.0022659245491054815,0.0022729421923020268,0.0022743125580655457,0.0028566771618526773,0.002860973233213125,0.002883946294957111,0.0028942541144345193,0.002893597798154949
summaryMetric.meanTradeProfit.results.groupedByPriceTargetReached.false,-0.0034451538160696063,-0.003935638406726699,-0.0044535391005889385,-0.0050067421328320065,-0.005515642320282759,-0.00421586658718745,-0.004746914479946182,-0.005274398597990284,-0.005807562269773648,-0.006349720419817311,-0.004648885981772023,-0.005178249305841744,-0.005702080675297249,-0.006225629510436502,-0.006755441325528932,-0.004908814972844181,-0.005441026473872063,-0.00597727625831473,-0.006505715514105011,-0.007044658241085095,-0.005024730688924495,-0.005570491854302257,-0.006100123663254149,-0.006629168764117858,-0.0071784282191794686,-0.005094577276385393,-0.005643078266734246,-0.006175593691427181,-0.00671948455176039,-0.007278076029449295
