,target-0.2_stop-2.0,target-0.2_stop-2.3,target-0.2_stop-2.6,target-0.2_stop-2.9,target-0.2_stop-3.2,target-0.4_stop-2.0,target-0.4_stop-2.3,target-0.4_stop-2.6,target-0.4_stop-2.9,target-0.4_stop-3.2,target-0.6_stop-2.0,target-0.6_stop-2.3,target-0.6_stop-2.6,target-0.6_stop-2.9,target-0.6_stop-3.2,target-0.8_stop-2.0,target-0.8_stop-2.3,target-0.8_stop-2.6,target-0.8_stop-2.9,target-0.8_stop-3.2,target-1.0_stop-2.0,target-1.0_stop-2.3,target-1.0_stop-2.6,target-1.0_stop-2.9,target-1.0_stop-3.2,target-1.2_stop-2.0,target-1.2_stop-2.3,target-1.2_stop-2.6,target-1.2_stop-2.9,target-1.2_stop-3.2
summaryMetric.exp24hROI.groupedByAll,-0.025196367572787988,-0.025858335382989366,-0.025848104305254957,-0.02544783722367734,-0.02516112366902257,-0.03407347042440071,-0.034074928329965684,-0.03365125034633962,-0.0325366772871691,-0.031890209360785036,-0.03884728820592828,-0.038827181835409605,-0.038475310841138644,-0.03709231900704082,-0.03649336759267782,-0.04141788089995504,-0.041388837341398185,-0.04045247611750871,-0.03902352733198178,-0.03696363385717655,-0.04089015695323259,-0.039987578245308464,-0.03599914396640647,-0.03172473386476988,-0.029003402808491806,-0.04263737608409515,-0.036760383609376446,-0.03169366609899008,-0.027676991049563265,-0.024585569175806867
summaryMetric.exp24hROI.results.groupedByEntryType.bullish,-0.04121619376116744,-0.04219771196525199,-0.042623108313920334,-0.042630528213912555,-0.04184145092944027,-0.03929791146210937,-0.039014522312007104,-0.039182899130283104,-0.038484061714890105,-0.03796133905905406,-0.041005512320133136,-0.04086220720666472,-0.04146280881556937,-0.04097046175007503,-0.04054967929926759,-0.04501079179114603,-0.04531441867297552,-0.04606757730155508,-0.0462563789786682,-0.043427322766112116,-0.048599851927322676,-0.048428200936890396,-0.04591157603509353,-0.04269783244775849,-0.03831110995844791,-0.05154990203320916,-0.04544453171602418,-0.04079725434238008,-0.0367389540615054,-0.031884773789378276
summaryMetric.exp24hROI.results.groupedByEntryType.bearish,-0.04285010048728996,-0.04410464781608776,-0.043525357359492714,-0.04200310719401258,-0.04192227701668651,-0.0434503628912029,-0.04381151791820102,-0.04244315764104172,-0.04028248218106893,-0.03917721218751931,-0.041074583629983154,-0.04120902907090189,-0.03959725487441692,-0.03690103412937185,-0.03599806272890266,-0.038008233727111936,-0.03755625881243194,-0.03445008151211333,-0.030928714900518454,-0.0297403081499567,-0.03126850727884452,-0.029433350173306602,-0.02374206353907848,-0.018478712589111077,-0.017468284131369825,-0.031076703341541816,-0.02564295436215889,-0.020209601219923472,-0.016269629193262643,-0.01515807808226479
summaryMetric.exp24hROI.results.groupedByPriceTargetReached.true,0.01991230293584054,0.019912564876702697,0.020308256051830367,0.020604582831553905,0.020752413052845916,0.023624490264810713,0.023522821801750936,0.023603752267932453,0.02378513380277838,0.02367172664994477,0.03781041614306753,0.037588314799046535,0.03754090973154037,0.0376648265523205,0.03758128730916514,0.05801778840310097,0.05794696635311244,0.058345265665306775,0.0586301521843568,0.05864633474588403,0.08334671141817002,0.08356845819663586,0.08397477650107564,0.07930377420020605,0.074159778732772,0.10565329265272372,0.0962594778552886,0.08757714171912583,0.08114259858230378,0.07509302770677789
summaryMetric.exp24hROI.results.groupedByPriceTargetReached.false,-0.1444836841760001,-0.16515149928513084,-0.1849051272276101,-0.20439323074942778,-0.22566416655931767,-0.1761300724427223,-0.1979124886785216,-0.2184574047744653,-0.23659466160558915,-0.25722803481818,-0.19898899849179996,-0.22217297629683253,-0.2441937340889077,-0.26310356542661206,-0.2548249210316635,-0.20898287690804784,-0.2325137291592624,-0.23753029479292254,-0.22285099490694651,-0.21164391252346532,-0.2137040854795695,-0.22122470190010957,-0.21053207551328612,-0.1964280732031327,-0.18706742591253087,-0.20851029691824513,-0.1950756088105155,-0.18511108616251573,-0.1755073867326413,-0.16907069644823466
summaryMetric.meanTradeProfit.groupedByAll,-0.0005249243244330831,-0.0005387153204789451,-0.0005385021730261449,-0.000530163275493278,-0.0005241900764379702,-0.0007098639671750148,-0.0007098943402076185,-0.000701067715548742,-0.0006778474434826896,-0.0006643793616830216,-0.0008093185042901726,-0.0008088996215710334,-0.0008015689758570551,-0.0007727566459800171,-0.0007602784915141213,-0.0008628725187490633,-0.0008622674446124622,-0.0008427599191147648,-0.0008129901527496203,-0.0007995665843314808,-0.0008518782698590122,-0.0008330745467772597,-0.0008074166173742781,-0.0007811348450811205,-0.000776625823481171,-0.0009204315409869301,-0.0009024397817458554,-0.0008716281338585818,-0.0008385404046487915,-0.0008141435136005524
summaryMetric.meanTradeProfit.results.groupedByEntryType.bullish,-0.000858670703357655,-0.0008791189992760831,-0.0008879814232066736,-0.0008881360044565115,-0.000871696894363339,-0.0008187064887939452,-0.0008128025481668146,-0.0008163103985475646,-0.0008017512857268772,-0.0007908612303969596,-0.0008542815066694404,-0.0008512959834721816,-0.0008638085169910286,-0.0008535512864598964,-0.000844784985401408,-0.000937724828982209,-0.0009440503890203233,-0.0009597411937823974,-0.0009636745620555875,-0.0009419442347920334,-0.0010124969151525558,-0.0010089208528518833,-0.0010230043477938505,-0.001032142990632283,-0.0010193630685978719,-0.0011263069933956232,-0.0011223210581289915,-0.0011209174832007792,-0.0011106780790389916,-0.0010656884400713313
summaryMetric.meanTradeProfit.results.groupedByEntryType.bearish,-0.0008927104268185409,-0.0009188468295018283,-0.0009067782783227649,-0.0008750647332085955,-0.0008733807711809689,-0.0009052158935667271,-0.0009127399566291881,-0.0008842324508550359,-0.0008392183787722695,-0.0008161919205733189,-0.0008557204922913157,-0.0008585214389771227,-0.0008249428098836858,-0.0007687715443619136,-0.000749959640185472,-0.0007918382026481653,-0.0007824220585923321,-0.000717710031502361,-0.0006443482270941345,-0.0006410925809199204,-0.0006514272349759274,-0.0006131947952772209,-0.0005369313303134011,-0.00046553170545224316,-0.0004715125904259358,-0.0006605413951057731,-0.0006247164925955766,-0.0005564737299291194,-0.0004942869214836806,-0.0004960137746833273
summaryMetric.meanTradeProfit.results.groupedByPriceTargetReached.true,0.00041483964449667794,0.0004148451015979728,0.000423088667746466,0.0004292621423240397,0.0004323419386009566,0.0004921768805168899,0.0004900587875364778,0.0004917448389152594,0.0004955236208912163,0.0004931609718738494,0.0007877170029805735,0.0007830898916468028,0.0007821022860737577,0.0007846838865066771,0.0007829434856076071,0.0012087039250646035,0.0012072284656898425,0.0012155263680272246,0.0012214615038407667,0.0012217986405392506,0.0017363898212118753,0.001741009545763247,0.0017494745104390758,0.001753317557864987,0.0017534112827454038,0.0022822816420939545,0.0022881945846138477,0.002292779596288962,0.0023002314108048014,0.0023037367937921546
summaryMetric.meanTradeProfit.results.groupedByPriceTargetReached.false,-0.0030100767536666686,-0.0034406562351068926,-0.0038521901505752104,-0.004258192307279745,-0.004701336803319118,-0.003669376509223381,-0.0041231768474692,-0.0045511959328013605,-0.0049290554501164405,-0.0053589173920454165,-0.0041456041352458325,-0.004628603672850677,-0.005087369460185578,-0.005481324279721084,-0.005946311377014928,-0.00435380993558433,-0.0048440360241513,-0.005310936472249528,-0.0057230393445912445,-0.0061871927119440005,-0.0044521684474910315,-0.0049400595166528664,-0.005401827789975279,-0.0058165214926773935,-0.006283962745314821,-0.004497901125875984,-0.004983013101936328,-0.005444216319268154,-0.005865117715298253,-0.006326736678977503
summaryMetric.meanCandlesToExit.groupedByAll,8.294036061026349,9.828363384188629,11.387656033287112,12.937933425797496,14.355755894590857,11.413229376257547,13.07821931589538,14.647384305835,16.272132796780685,17.80935613682092,15.630501760563401,17.622579225352126,19.54005281690138,21.395246478873254,23.42429577464785,20.540067482075063,23.38464782792074,25.989034162800507,28.466048080978485,31.148882328131567,25.3331246086412,28.965560425798376,32.2974326862868,35.456063452306374,38.558964725527,31.0859049207673,35.350917431192585,39.60237698081741,43.62823185988326,47.68515429524604
summaryMetric.meanCandlesToExit.results.groupedByEntryType.bullish,8.330855018587359,9.743494423791812,11.22057001239157,12.590458488228009,13.866790582403963,11.3680649526387,12.840324763193497,14.148398737032029,15.560667568786638,16.97248534055028,15.809972516686297,17.665096191597947,19.254024342363536,20.96702002355711,23.1354534746761,21.04374057315235,23.73227752639519,25.979638009049737,28.1176470588235,31.23378582202113,25.65870943677731,29.063409175680732,32.08616187989556,34.80939947780683,38.314807907497226,31.462369597615503,35.56296572280181,39.56445603576752,43.533532041728805,48.129284649776416
summaryMetric.meanCandlesToExit.results.groupedByEntryType.bearish,8.247244094488185,9.936220472440944,11.60000000000001,13.379527559055107,14.977165354330706,11.470153496304732,13.378055713473561,15.276293348493464,17.16884593519043,18.86412734508244,15.401602403605393,17.568352528793206,19.9048572859289,21.941412118177254,23.79268903355034,19.900956937799055,22.94354066985645,26.00095693779902,28.90813397129185,31.041148325358876,24.919431279620856,28.841232227488113,32.56587677725117,36.27772511848339,38.86919431279617,30.60748106060603,35.08143939393937,39.650568181818194,43.74857954545454,47.120738636363626
summaryMetric.meanCandlesToExit.results.groupedByPriceTargetReached.true,8.002223457476369,9.101944298476091,10.379638916750247,11.55946076071256,12.458856345885629,10.479344994417557,11.871403197158074,13.254707292023289,14.662130766677743,15.854651162790685,14.213790828109547,15.710003155569567,17.21900700578739,18.797516996748424,20.285632018427858,19.160431412200893,21.03695372750648,23.108366779870316,24.913628212791394,27.013945380592624,24.348528356066012,26.963994565217362,29.707182320442005,31.83678593848086,34.0469226081657,31.106324110671903,34.23039762170193,37.699364855328156,40.82113821138203,44.17695070192617
summaryMetric.meanCandlesToExit.results.groupedByPriceTargetReached.false,8.7778801843318,11.2375127420999,13.646067415730338,16.48574969021066,19.922237380627553,13.359968968192408,16.004306632213606,18.503317535545023,21.309449636552436,24.686363636363634,18.468605419695972,22.03054545454549,25.582870737509943,28.96468561584844,33.60224089635853,22.846197183098607,27.866871165644184,32.19693945442446,36.98065902578793,42.0969230769231,26.70124688279303,32.155928532755794,36.94749124854143,42.64049844236759,48.372432074221386,31.063106796116532,36.78337292161518,42.35117227319065,48.12201735357911,53.885747259088255
summaryMetric.meanTimeToExitMin.groupedByAll,8.29403606102635,9.828363384188627,11.387656033287112,12.937933425797517,14.355755894590839,11.413229376257542,13.078219315895337,14.647384305834986,16.2721327967807,17.809356136820934,15.630501760563375,17.622579225352126,19.54005281690139,21.395246478873265,23.424295774647938,20.540067482075095,23.38464782792072,25.989034162800515,28.46604808097849,31.148882328131602,25.33312460864119,28.96556042579835,32.29743268628675,35.456063452306374,38.558964725527034,31.085904920767288,35.35091743119269,39.60237698081726,43.62823185988324,47.68515429524605
summaryMetric.meanTimeToExitMin.results.groupedByEntryType.bullish,8.330855018587359,9.743494423791823,11.22057001239158,12.590458488228014,13.866790582403972,11.368064952638683,12.840324763193527,14.148398737032021,15.56066756878666,16.972485340550303,15.80997251668632,17.665096191597947,19.254024342363547,20.967020023557133,23.13545347467608,21.043740573152352,23.732277526395197,25.979638009049722,28.117647058823557,31.23378582202109,25.65870943677734,29.063409175680697,32.08616187989557,34.80939947780682,38.31480790749722,31.4623695976155,35.56296572280181,39.564456035767535,43.53353204172882,48.12928464977641
summaryMetric.meanTimeToExitMin.results.groupedByEntryType.bearish,8.247244094488186,9.93622047244094,11.6,13.379527559055123,14.977165354330713,11.470153496304714,13.378055713473564,15.276293348493464,17.168845935190447,18.864127345082448,15.40160240360539,17.568352528793184,19.904857285928887,21.94141211817726,23.79268903355032,19.900956937799016,22.943540669856464,26.00095693779906,28.908133971291875,31.041148325358844,24.919431279620845,28.841232227488163,32.56587677725119,36.27772511848339,38.869194312796225,30.607481060606087,35.081439393939384,39.65056818181816,43.74857954545458,47.12073863636365
summaryMetric.meanTimeToExitMin.results.groupedByPriceTargetReached.true,8.00222345747637,9.101944298476095,10.379638916750245,11.559460760712563,12.458856345885614,10.479344994417556,11.871403197158099,13.254707292023278,14.662130766677732,15.854651162790713,14.21379082810954,15.710003155569574,17.219007005787397,18.797516996748453,20.28563201842786,19.160431412200865,21.036953727506464,23.108366779870344,24.9136282127914,27.01394538059266,24.34852835606606,26.96399456521743,29.707182320441998,31.836785938480805,34.04692260816577,31.106324110671913,34.23039762170198,37.6993648553282,40.821138211382134,44.17695070192625
summaryMetric.meanTimeToExitMin.results.groupedByPriceTargetReached.false,8.777880184331789,11.2375127420999,13.64606741573033,16.485749690210657,19.92223738062757,13.359968968192396,16.004306632213613,18.503317535545033,21.30944963655244,24.68636363636365,18.46860541969596,22.03054545454543,25.5828707375099,28.96468561584841,33.60224089635857,22.846197183098617,27.866871165644206,32.19693945442449,36.980659025787936,42.09692307692308,26.70124688279303,32.155928532755794,36.947491248541425,42.64049844236763,48.37243207422133,31.06310679611652,36.783372921615204,42.35117227319066,48.122017353579125,53.88574725908825
