,target-0.2_stop-2.0,target-0.2_stop-2.3,target-0.2_stop-2.6,target-0.2_stop-2.9,target-0.2_stop-3.2,target-0.4_stop-2.0,target-0.4_stop-2.3,target-0.4_stop-2.6,target-0.4_stop-2.9,target-0.4_stop-3.2,target-0.6_stop-2.0,target-0.6_stop-2.3,target-0.6_stop-2.6,target-0.6_stop-2.9,target-0.6_stop-3.2,target-0.8_stop-2.0,target-0.8_stop-2.3,target-0.8_stop-2.6,target-0.8_stop-2.9,target-0.8_stop-3.2,target-1.0_stop-2.0,target-1.0_stop-2.3,target-1.0_stop-2.6,target-1.0_stop-2.9,target-1.0_stop-3.2,target-1.2_stop-2.0,target-1.2_stop-2.3,target-1.2_stop-2.6,target-1.2_stop-2.9,target-1.2_stop-3.2
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.positiveProportionCI_95.lowerLimit,0.9976539611816406,0.9976539611816406,0.9976539611816406,0.9976539611816406,0.9976539611816406,0.9980125427246094,0.9980125427246094,0.9980125427246094,0.9980125427246094,0.9980125427246094,0.9981498718261719,0.9981498718261719,0.9981498718261719,0.9981498718261719,0.9981498718261719,0.9981727600097656,0.9981727600097656,0.9981727600097656,0.9981727600097656,0.9981727600097656,0.9981880187988281,0.9981880187988281,0.9981880187988281,0.9981880187988281,0.9981880187988281,0.9981956481933594,0.9981956481933594,0.9981956481933594,0.9981956481933594,0.9981956481933594
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.positiveProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.negativeProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.negativeProportionCI_95.upperLimit,0.002346038818359375,0.002346038818359375,0.002346038818359375,0.002346038818359375,0.002346038818359375,0.001987457275390625,0.001987457275390625,0.001987457275390625,0.001987457275390625,0.001987457275390625,0.001850128173828125,0.001850128173828125,0.001850128173828125,0.001850128173828125,0.001850128173828125,0.001827239990234375,0.001827239990234375,0.001827239990234375,0.001827239990234375,0.001827239990234375,0.001811981201171875,0.001811981201171875,0.001811981201171875,0.001811981201171875,0.001811981201171875,0.001804351806640625,0.001804351806640625,0.001804351806640625,0.001804351806640625,0.001804351806640625
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.meanCI_95.lowerLimit,215.0226780416396,244.52915002875,271.51018475536983,303.22558710712644,331.5548785107995,302.20634474507307,336.41475762988324,372.3871497413791,411.8633808693859,448.7759330813265,423.09033457398783,477.10652908646364,527.9292069858482,576.4921030246438,619.8007147494544,548.2320218794587,616.8065973488142,684.3173662512829,742.8483838136829,796.8160736031214,685.5500916318488,772.7651317187959,857.8438968056029,932.777152057115,997.4831588527272,818.5816300226548,923.2920454548582,1032.9239996116387,1115.4575952068692,1186.826500990533
backtestResult.results.groupedByEntryType.bearish.exitInfo.timeToExitSec.meanCI_95.upperLimit,249.63381050797932,286.7685598949139,320.01653280188185,365.4003670913471,400.8878695808042,346.8050004737283,387.0212229211706,431.24332027482836,481.8805413348274,532.2289291553025,482.3696955919249,547.8708464791474,608.5413812494471,668.5757702785223,722.8840514647244,617.0920751022343,696.8401122009136,774.445622368213,843.217919996312,909.2502302068733,767.2334135227902,866.7635869851823,963.128120867446,1048.0181351299234,1123.4594037393204,912.6034826120191,1028.9116763864747,1152.521641916275,1243.5237955864748,1324.2410798126007
backtestResult.results.groupedByAll.sampleSize,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
backtestResult.results.groupedByAll.profitInfo.profitMargin.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByAll.profitInfo.profitMargin.summary.mean,-0.0005750602121019658,-0.0006215188031269675,-0.000644348001488448,-0.0006856429208706291,-0.0007135170928552016,-0.0007848045488784254,-0.0008251357310045247,-0.0008409444947153577,-0.0008880717473788266,-0.0009104786406505923,-0.0008962313171873176,-0.0009343274699549529,-0.0009546903680093792,-0.0009885707329437003,-0.001025838580482626,-0.0010095609925232613,-0.0010595599763681299,-0.0010700714265140898,-0.001097467204044426,-0.001132630983265385,-0.0010003412644749505,-0.0010491176473455077,-0.0010570110187006383,-0.0010932713822140276,-0.0011170619268934213,-0.0010629526148773403,-0.0011264978250316482,-0.001141644668425723,-0.0011678242454324667,-0.0011859623103322838
backtestResult.results.groupedByAll.profitInfo.profitMargin.summary.min,-0.012434623156479705,-0.014220992080424027,-0.01600736100436846,-0.017793729928312896,-0.01958009885225722,-0.012434623156479705,-0.014220992080424027,-0.01600736100436846,-0.017793729928312896,-0.01958009885225722,-0.01379703810234011,-0.015373078953214072,-0.017369966598874728,-0.019366854244535273,-0.021363741890195933,-0.015603128775566827,-0.017257205758627207,-0.01891128274168747,-0.020565359724747736,-0.022219436707808,-0.015603128775566827,-0.017257205758627207,-0.01891128274168747,-0.020565359724747736,-0.022219436707808,-0.015657379326560736,-0.017257205758627207,-0.01891128274168747,-0.020565359724747736,-0.022219436707808
backtestResult.results.groupedByAll.profitInfo.profitMargin.summary.firstQuartile,-0.001692548472523099,-0.0014386614355847522,-0.0003840568940886367,0,0,-0.0027556125349765433,-0.00267540667907293,-0.002444523519547515,-0.002110475476831476,-0.000695851340189439,-0.003561482950275625,-0.003640985843935151,-0.0036396842758505228,-0.0035921015335943023,-0.0034232263496594873,-0.004093327029365405,-0.004338560032751828,-0.004515366769092121,-0.004643800205715718,-0.00467039144556324,-0.004421729606019789,-0.004764411297580828,-0.005011003189377205,-0.005241932952227701,-0.005457604065983556,-0.00470955049899208,-0.005078194925217665,-0.005416316032885398,-0.005760356232147313,-0.0059929139074354695
backtestResult.results.groupedByAll.profitInfo.profitMargin.summary.median,0,0,1.6480373204613956e-05,4.0647992356540426e-05,5.914156987360628e-05,0.00012105091850396157,0.00015172706328246813,0.00018142837605304653,0.00020462658355024512,0.00022915381773377214,0.00024535662240289156,0.00029948463273150427,0.0003570422989655135,0.00038332114365937134,0.00041185524237976706,0.0003548847919571777,0.0004329099013788102,0.0005175479037752562,0.0005838830936874146,0.0006196369137754388,0.00040745928476253754,0.000579258470705595,0.0007289760072144709,0.0008050730855017076,0.0008846136440634305,6.296815395108077e-06,0.0004503103909083754,0.0007311830489349501,0.0009455545757102591,0.001078414144054256
backtestResult.results.groupedByAll.profitInfo.profitMargin.summary.thirdQuartile,0.0004761443224295869,0.000507431910328603,0.0005416128295823793,0.0005619224076839851,0.0005864572142944117,0.0006638700877725022,0.0007010144109717124,0.0007281598420151348,0.0007617682940223738,0.0007918036377049082,0.0010206992554618113,0.0010567760949958696,0.0010964105069578068,0.0011230307579065805,0.001157012006190942,0.0014292895678283258,0.0014825081041999343,0.0015387570402938726,0.0015931562360463267,0.0016253081722161593,0.0019076587720519478,0.0019881637888690485,0.0020584334069332316,0.0021230402797471413,0.0021767372727196487,0.002358000294245957,0.0024334142681154878,0.0025162392050200036,0.002607064451396174,0.002669547138290811
backtestResult.results.groupedByAll.profitInfo.profitMargin.summary.max,0.017205672159192456,0.017205672159192456,0.017205672159192456,0.017205672159192456,0.017205672159192456,0.018690054900360995,0.018690054900360995,0.018690054900360995,0.018690054900360995,0.018690054900360995,0.020174437641529406,0.020174437641529406,0.020174437641529406,0.020174437641529406,0.020174437641529406,0.021658820382697692,0.021658820382697692,0.021658820382697692,0.021658820382697692,0.021658820382697692,0.015354518775093912,0.02314320312386623,0.02314320312386623,0.02314320312386623,0.02314320312386623,0.01850510700984721,0.024627585865034513,0.024627585865034513,0.024627585865034513,0.024627585865034513
