,target-0.5_stop-0.5,target-0.5_stop-1.0,target-0.5_stop-1.5,target-0.5_stop-2.0,target-0.5_stop-2.5,target-1.0_stop-0.5,target-1.0_stop-1.0,target-1.0_stop-1.5,target-1.0_stop-2.0,target-1.0_stop-2.5,target-1.5_stop-0.5,target-1.5_stop-1.0,target-1.5_stop-1.5,target-1.5_stop-2.0,target-1.5_stop-2.5,target-2.0_stop-0.5,target-2.0_stop-1.0,target-2.0_stop-1.5,target-2.0_stop-2.0,target-2.0_stop-2.5,target-2.5_stop-0.5,target-2.5_stop-1.0,target-2.5_stop-1.5,target-2.5_stop-2.0,target-2.5_stop-2.5
segmentId,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823,919970823
segmentInd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
segmentInfo.pair.joinedSymbol,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD,BTC/USD
segmentInfo.pair.baseSymbol,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC
segmentInfo.pair.quoteSymbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
segmentInfo.intervalS,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
segmentInfo.start_time,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00
segmentInfo.end_time,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00,2022-02-01 16:19:59.999000+00:00
backtestParams.segmentsParams,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestParams.entriesInfo,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestParams.exitStrategies,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestParams.tradeFeeInfo.name,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount,BinanceUS_DefaultFeeTier_BNB_20Discount
backtestParams.tradeFeeInfo.makerFeePct,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
backtestParams.tradeFeeInfo.takerFeePct,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
backtestParams.resultSampleGroups.0,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached,priceTargetReached
backtestParams.resultSampleGroups.1,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted,exitStrategyExecuted
backtestParams.resultSampleGroups.2,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType,entryType
backtestResult.results.groupedByPriceTargetReached.true.sampleSize,1640,2266,2718,3024,3252,1168,1752,2208,2571,2838,834,1320,1727,2064,2342,630,1046,1408,1711,1990,520,885,1194,1472,1732
backtestResult.results.groupedByPriceTargetReached.true.individualResults,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.summary.mean,0.0006192029955708087,0.000609858115493179,0.0006111164474724494,0.0006243071419676267,0.0006285222780487837,0.0018804466304277576,0.0018901305238083537,0.0019146325220671023,0.001960038653673194,0.001973613393272566,0.0033625445002784587,0.0033829105037631504,0.0034072238886522417,0.0034852496204734445,0.003507049815980065,0.004944913167402936,0.0049710345985461025,0.0049735804492366635,0.005060009570211322,0.005082933878863297,0.006470176402124109,0.006538403677378286,0.006541612614603159,0.006615185301690678,0.006619797398867044
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.summary.stdDev,0.0007092629690347127,0.0006768540523325618,0.0006601443072290732,0.0006570137433566386,0.0006519965500300757,0.001224910203792507,0.0011617343992792121,0.0011507011515976598,0.0011520219867594739,0.0011473595675470295,0.00160933139569836,0.001557006656084642,0.001530419460118246,0.0015433936896386935,0.0015502364210996746,0.0019875492142282223,0.0019617910031737404,0.0019431620730204792,0.0019723424705650455,0.0019940472622447304,0.0023836585217909844,0.002393222452223649,0.002394208627174666,0.0024131373731388476,0.0024217993597812136
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.summary.min,6.093798945438128e-08,6.093798945438128e-08,6.093798945438128e-08,6.093798945438128e-08,6.093798945438128e-08,1.0621036143693784e-07,1.0621036143693784e-07,1.0621036143693784e-07,1.0621036143693784e-07,1.0621036143693784e-07,0.0004909515269504971,0.00045089464858565363,0.00045089464858565363,0.00014635805367284253,1.8938179862823746e-05,0.00047211806095098113,0.00047211806095098113,0.00047211806095098113,0.00047211806095098113,0.00047211806095098113,0.001611574150639513,0.001611574150639513,0.001611574150639513,0.0013028115653395973,0.0012028956870083773
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.summary.firstQuartile,0.00019350012493049129,0.0001977767745467205,0.00019707126020459712,0.00020399359271729874,0.00020625700827640566,0.001054044708950872,0.0010985552353121575,0.0011282173331888072,0.0011653078214189038,0.0011788483075753744,0.0022852543528390145,0.002310638403858509,0.0023370702909809578,0.002406034644287886,0.0024239815987692104,0.0035902560578454554,0.003599974213759644,0.0036096116638687985,0.0036692195657410287,0.003670623212640634,0.00476648163149633,0.004806470427358567,0.0048063365024182455,0.004857657879054483,0.004854896057134915
